Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
09/04/2025 04:57 a. m.,Ordeño,07:34,14.13,1,,,,,1,,1.32,1.20,1.02,1.38,0,0,0,0,4.73,4.64,5.18,4.76,VMS 3,,Tanque,,2.10,1.56,1.56,2.04,4.40,3.43,1.52,4.78
09/04/2025 08:04 p. m.,Ordeño,11:12,13.64,2,,,TI,TI,1,TD,1.32,1.26,0.00,1.44,0,0,0,0,5.03,4.29,0.00,5.36,VMS 3,,Tanque,,1.80,1.62,0.00,1.98,4.89,3.92,0.00,4.83
10/04/2025 09:24 a. m.,Ordeño,07:03,12.58,1,,TD,,,1,,1.38,1.14,1.08,1.44,0,0,0,0,4.68,4.77,5.22,4.63,VMS 3,,Tanque,,1.74,1.62,1.50,2.28,4.48,3.61,1.58,2.91
11/04/2025 02:57 a. m.,Ordeño,09:43,14.96,1,,TD,,,1,,1.38,1.32,1.20,1.56,0,0,0,0,4.77,4.82,4.57,4.45,VMS 3,,Tanque,,1.98,1.68,1.74,2.10,4.77,3.94,2.91,3.34
11/04/2025 07:35 p. m.,Ordeño,09:55,13.83,2,,,,TI,0,,1.32,1.26,0.00,1.50,0,0,0,0,4.56,4.70,0.00,4.46,VMS 3,,Tanque,,1.86,1.62,0.00,2.16,4.16,4.18,0.00,5.49
12/04/2025 06:47 p. m.,Ordeño,12:31,14.53,1,,"DI,TI,TD",TI,,0,,1.20,1.26,1.20,1.50,0,0,0,0,4.60,4.73,4.52,4.45,VMS 3,,Tanque,,1.80,1.68,1.74,2.22,4.82,4.39,0.84,4.48
13/04/2025 09:59 p. m.,Ordeño,13:31,16.60,1,,TI,TD,,0,,1.38,1.26,1.50,0.96,0,0,0,0,4.59,4.56,4.53,4.87,VMS 3,,Tanque,,1.74,1.62,2.16,1.44,5.42,3.99,5.41,1.78
15/04/2025 03:30 a. m.,Ordeño,11:31,16.34,1,,,TI,TI,0,,1.38,1.20,0.00,1.44,0,0,0,0,4.43,4.86,0.00,4.21,VMS 3,,Tanque,,1.74,1.68,0.00,2.04,5.56,4.80,0.00,5.98
16/04/2025 03:54 a. m.,Ordeño,08:48,15.63,1,,,TI,TI,0,,1.38,1.26,0.00,1.62,0,0,0,0,4.55,4.62,0.00,4.47,VMS 3,,Tanque,,1.74,1.68,0.00,2.04,5.30,4.66,0.00,5.67
18/04/2025 07:39 p. m.,Ordeño,08:40,17.10,1,,,,,1,TI,1.44,1.38,1.02,1.62,0,0,0,0,4.13,4.53,5.54,4.29,VMS 3,,Tanque,,1.80,1.80,1.32,2.16,5.44,4.74,0.98,5.94
19/04/2025 10:00 p. m.,Ordeño,13:17,15.50,1,,"TI,TD",,,0,,1.38,1.32,1.38,1.50,0,0,0,0,4.86,4.94,5.11,4.67,VMS 3,,Tanque,,2.16,2.04,2.16,2.16,5.07,4.91,1.60,3.92
20/04/2025 08:13 p. m.,Ordeño,07:35,11.85,1,,"DI,TI,TD","DI,TD",,1,,1.20,1.38,1.38,1.38,0,0,0,0,4.94,4.96,5.45,5.02,VMS 3,,Tanque,,2.16,1.80,2.22,2.04,1.00,4.49,4.20,2.16
21/04/2025 10:40 p. m.,Ordeño,07:38,15.10,1,,,TI,,1,TI,1.50,1.44,1.02,1.56,0,0,0,0,4.49,4.72,5.73,4.69,VMS 3,,Tanque,,1.80,1.80,1.38,2.10,4.75,3.75,1.25,5.35
22/04/2025 02:41 p. m.,Ordeño,07:45,12.77,1,,,,TI,0,,1.50,1.38,0.00,1.62,0,0,0,0,4.75,4.84,0.00,4.86,VMS 3,,Tanque,,1.86,1.80,0.00,1.92,4.08,3.62,0.00,5.07
23/04/2025 11:36 p. m.,Ordeño,11:36,15.41,1,,,,TI,0,,1.50,1.44,0.00,1.56,0,0,0,0,4.74,4.61,0.00,4.47,VMS 3,,Tanque,,1.86,1.86,0.00,2.28,5.22,4.56,0.00,5.63
24/04/2025 10:45 p. m.,Ordeño,09:06,15.71,1,,,,,1,TI,1.44,1.38,1.02,1.62,0,0,0,0,4.81,4.81,5.47,4.67,VMS 3,,Tanque,,1.74,1.80,1.38,2.04,5.08,4.26,1.19,5.18
25/04/2025 02:40 p. m.,Ordeño,07:21,11.25,1,,,TI,TI,0,,1.38,1.26,0.00,1.50,0,0,0,0,4.91,4.81,0.00,4.81,VMS 3,,Tanque,,1.80,1.62,0.00,1.80,3.77,3.59,0.00,3.89
26/04/2025 03:23 a. m.,Ordeño,08:42,10.12,1,,,,TI,0,,1.26,1.20,0.00,1.38,0,0,0,0,4.94,4.73,0.00,4.94,VMS 3,,Tanque,,2.04,1.62,0.00,1.80,3.34,3.00,0.00,3.78
26/04/2025 07:33 p. m.,Ordeño,06:06,13.38,2,,"DI,DD",,,0,,1.38,1.26,1.02,1.44,0,0,0,0,5.23,5.03,5.54,5.30,VMS 3,,Tanque,,2.40,1.86,1.38,1.80,3.35,3.71,1.07,5.25
27/04/2025 09:52 p. m.,Ordeño,08:56,13.67,1,,"TI,TD",,,0,,1.44,1.26,1.32,1.56,0,0,0,0,4.61,4.58,4.09,4.67,VMS 3,,Tanque,,1.92,1.92,1.74,2.46,4.83,3.69,0.83,4.32
